Scaffold_6555	880053	880618	49	565	565	1.0000000
Scaffold_5117	9548	10482	34	756	934	0.8094218
Scaffold_178	613708	614251	12	426	543	0.7845304
Scaffold_1520	218698	219266	45	479	568	0.8433099
Scaffold_5196	1050597	1051105	34	508	508	1.0000000
Scaffold_3931	733978	734365	0	0	387	0.0000000
Scaffold_518	54976	56451	27	851	1475	0.5769492
Scaffold_2352	481759	482449	38	690	690	1.0000000
Scaffold_972	536232	536653	26	421	421	1.0000000
Scaffold_6581	791405	791705	21	300	300	1.0000000
Scaffold_3566	423401	423879	16	478	478	1.0000000
Scaffold_733	68615	69190	47	575	575	1.0000000
Scaffold_4155	696956	697381	37	425	425	1.0000000
Scaffold_3525	842241	842851	12	520	610	0.8524590
Scaffold_5324	243027	243477	19	450	450	1.0000000
Scaffold_6823	679411	680605	27	958	1194	0.8023450
Scaffold_2706	467153	467423	23	270	270	1.0000000
Scaffold_1139	786643	791220	14	860	4577	0.1878960
Scaffold_1799	929017	930611	19	791	1594	0.4962359
Scaffold_5593	481528	482093	24	454	565	0.8035398
Scaffold_7910	1010333	1011192	2	34	859	0.0395809
Scaffold_726	68411	68831	42	420	420	1.0000000
Scaffold_7213	399307	400641	29	1061	1334	0.7953523
Scaffold_7941	1346337	1347470	61	721	1133	0.6363636
Scaffold_4203	908925	909432	45	507	507	1.0000000
Scaffold_61	336213	337510	57	636	1297	0.4903624
Scaffold_3928	41781	42646	16	567	865	0.6554914
Scaffold_2353	168756	169516	8	448	760	0.5894737
Scaffold_6391	807966	809000	20	779	1034	0.7533849
Scaffold_8240	414882	415212	21	319	330	0.9666666
Scaffold_4532	440093	440528	78	401	435	0.9218391
Scaffold_1480	903757	904688	39	912	931	0.9795918
Scaffold_4143	546054	547749	151	1159	1695	0.6837758
Scaffold_565	136892	137408	2	177	516	0.3430233
Scaffold_1491	1003350	1003884	63	534	534	1.0000000
Scaffold_1205	114289	115190	73	842	901	0.9345172
Scaffold_3147	344350	344848	0	0	498	0.0000000
Scaffold_7479	1163046	1163900	0	0	854	0.0000000
Scaffold_8918	1257982	1258308	49	326	326	1.0000000
Scaffold_498	372332	373490	34	866	1158	0.7478411
Scaffold_5919	382927	385933	30	982	3006	0.3266800
Scaffold_4538	267135	269118	18	888	1983	0.4478064
Scaffold_5201	776633	777274	60	491	641	0.7659906
Scaffold_6352	103374	104886	32	715	1512	0.4728836
Scaffold_2341	211703	212737	11	495	1034	0.4787234
Scaffold_109	306898	308714	58	1350	1816	0.7433921
Scaffold_4723	520864	522311	29	1091	1447	0.7539737
Scaffold_1869	570748	571028	20	280	280	1.0000000
Scaffold_8988	341298	341794	40	496	496	1.0000000
Scaffold_4609	534661	535432	38	629	771	0.8158236
Scaffold_9959	258047	258475	39	339	428	0.7920561
Scaffold_4508	464127	464560	28	408	433	0.9422633
Scaffold_2049	916811	917418	55	511	607	0.8418452
Scaffold_1833	140607	140921	19	314	314	1.0000000
Scaffold_1552	743948	744427	444	479	479	1.0000000
Scaffold_5022	895322	895890	75	568	568	1.0000000
Scaffold_783	370578	371487	120	875	909	0.9625962
Scaffold_277	798136	798731	58	595	595	1.0000000
Scaffold_7199	857437	858696	41	880	1259	0.6989675
Scaffold_4428	853603	854060	72	457	457	1.0000000
Scaffold_496	708719	709592	17	534	873	0.6116838
Scaffold_7281	1104253	1105261	83	894	1008	0.8869048
Scaffold_6480	277258	278096	36	605	838	0.7219570
Scaffold_5123	624490	625285	0	0	795	0.0000000
Scaffold_4660	634704	636639	0	0	1935	0.0000000
Scaffold_168	523785	524221	30	436	436	1.0000000
Scaffold_2339	334378	335476	59	744	1098	0.6775956
Scaffold_821	696203	697269	21	577	1066	0.5412758
Scaffold_8241	1348552	1348895	70	343	343	1.0000000
Scaffold_2350	233902	236618	82	1410	2716	0.5191458
Scaffold_9248	1182691	1183369	14	434	678	0.6401180
Scaffold_8682	726172	727433	0	0	1261	0.0000000
Scaffold_354	544447	545137	25	600	690	0.8695652
Scaffold_4443	1020674	1021145	9	264	471	0.5605096
Scaffold_2668	1003164	1004064	78	900	900	1.0000000
Scaffold_4886	204281	205834	14	580	1553	0.3734707
Scaffold_6118	261084	262288	6	399	1204	0.3313954
Scaffold_1014	529365	529888	45	523	523	1.0000000
Scaffold_5029	316069	317123	67	828	1054	0.7855787
Scaffold_2849	853171	853965	76	794	794	1.0000000
Scaffold_6795	714416	715909	69	1217	1493	0.8151373
Scaffold_3171	721096	722500	59	868	1404	0.6182336
Scaffold_7286	1121935	1122633	76	645	698	0.9240687
Scaffold_247	339656	339913	20	257	257	1.0000000
Scaffold_1962	871157	872569	202	1150	1412	0.8144476
Scaffold_5337	18453	19231	102	467	778	0.6002571
Scaffold_3305	323031	323253	0	0	222	0.0000000
Scaffold_159	96765	97229	45	464	464	1.0000000
Scaffold_2533	388262	388918	22	601	656	0.9161586
Scaffold_5204	871475	871874	307	399	399	1.0000000
Scaffold_10274	800491	800879	2	157	388	0.4046392
Scaffold_5481	192067	192457	81	390	390	1.0000000
Scaffold_2231	753204	754534	27	888	1330	0.6676692
Scaffold_97	377739	379017	86	1150	1278	0.8998435
Scaffold_5589	1016169	1016665	49	496	496	1.0000000
Scaffold_4076	1079266	1079990	17	480	724	0.6629834
Scaffold_3446	460452	462176	52	1249	1724	0.7244779
Scaffold_8459	477111	477870	18	710	759	0.9354414
Scaffold_3770	16790	17188	2	147	398	0.3693467
Scaffold_4551	394184	394659	51	475	475	1.0000000
Scaffold_7104	1175008	1175310	29	302	302	1.0000000
Scaffold_6880	502404	503381	48	913	977	0.9344934
Scaffold_5253	460928	462031	20	806	1103	0.7307343
Scaffold_7355	443030	443879	5	349	849	0.4110718
Scaffold_3280	74880	75688	28	753	808	0.9319307
Scaffold_4566	241621	243095	16	551	1474	0.3738128
Scaffold_2781	969562	972295	94	1275	2733	0.4665203
Scaffold_7374	262235	262786	0	0	551	0.0000000
Scaffold_4330	980960	982680	96	1483	1720	0.8622093
Scaffold_5839	135747	137183	0	0	1436	0.0000000
Scaffold_1067	53467	53914	153	447	447	1.0000000
Scaffold_6818	1180350	1181414	11	549	1064	0.5159774
Scaffold_8358	1083857	1084621	13	300	764	0.3926702
Scaffold_9764	105167	105639	9	239	472	0.5063559
Scaffold_500	28660	29085	29	425	425	1.0000000
Scaffold_871	100590	101271	1	145	681	0.2129222
Scaffold_978	671846	672910	0	0	1064	0.0000000
Scaffold_8109	522157	523075	48	842	918	0.9172114
Scaffold_6320	814237	814505	112	268	268	1.0000000
Scaffold_1695	488837	490937	46	1403	2100	0.6680952
Scaffold_806	344887	345584	53	697	697	1.0000000
Scaffold_369	342562	343765	30	972	1203	0.8079801
Scaffold_5689	919913	920765	0	0	852	0.0000000
Scaffold_6108	494480	495724	13	672	1244	0.5401929
Scaffold_2856	798033	798357	10	317	324	0.9783950
Scaffold_6581	791425	791744	23	319	319	1.0000000
Scaffold_2215	834124	835332	35	668	1208	0.5529801
Scaffold_7351	511660	512297	20	619	637	0.9717426
Scaffold_1309	715969	716825	56	723	856	0.8446262
Scaffold_7526	733526	734650	37	729	1124	0.6485765
Scaffold_1775	1004482	1006165	61	1057	1683	0.6280451
Scaffold_1476	398355	398657	0	0	302	0.0000000
Scaffold_7630	411626	412589	15	774	963	0.8037383
Scaffold_6437	155413	155869	94	426	456	0.9342105
Scaffold_7958	191881	193155	22	827	1274	0.6491366
Scaffold_98	233196	234282	14	445	1086	0.4097606
Scaffold_866	277124	277558	12	426	434	0.9815668
Scaffold_5768	32324	35716	48	849	3392	0.2502948
Scaffold_4054	234739	239322	44	1169	4583	0.2550731
Scaffold_3575	45236	46180	9	689	944	0.7298729
Scaffold_148	84436	85294	59	610	858	0.7109557
Scaffold_7892	302550	303059	29	509	509	1.0000000
Scaffold_2681	58479	59550	38	691	1071	0.6451914
Scaffold_4802	549010	550072	17	561	1062	0.5282486
Scaffold_6592	944678	947681	12	797	3003	0.2654013
Scaffold_1163	612359	612642	32	283	283	1.0000000
Scaffold_3543	476377	479514	41	1151	3137	0.3669111
Scaffold_4212	402766	403248	25	482	482	1.0000000
Scaffold_7857	1290766	1291697	0	0	931	0.0000000
Scaffold_3920	230871	232247	46	1020	1376	0.7412791
Scaffold_3125	532743	533827	18	881	1084	0.8127306
Scaffold_844	90512	92065	28	1124	1553	0.7237605
Scaffold_4530	296355	296915	13	308	560	0.5500000
Scaffold_2178	456874	457793	51	919	919	1.0000000
Scaffold_2509	123297	123512	49	215	215	1.0000000
Scaffold_7892	302427	303059	31	632	632	1.0000000
Scaffold_5350	937272	939472	112	1862	2200	0.8463637
Scaffold_8529	169874	170249	41	375	375	1.0000000
Scaffold_1006	968117	968552	62	435	435	1.0000000
Scaffold_7536	6467	6973	366	506	506	1.0000000
Scaffold_1957	830366	830847	21	481	481	1.0000000
Scaffold_7078	997910	998860	34	786	950	0.8273684
Scaffold_4715	838381	839877	21	631	1496	0.4217914
Scaffold_3900	905814	906145	31	331	331	1.0000000
Scaffold_8510	1379574	1379795	4	192	221	0.8687783
Scaffold_877	382897	384321	27	753	1424	0.5287921
Scaffold_5907	471625	473356	31	880	1731	0.5083767
Scaffold_9781	1281338	1281650	31	312	312	1.0000000
Scaffold_3652	805547	806035	33	477	488	0.9774590
Scaffold_1623	1032901	1033880	115	771	979	0.7875383
Scaffold_2870	73443	75007	40	1248	1564	0.7979540
Scaffold_2037	789008	789408	5	261	400	0.6525000
Scaffold_2910	1060611	1063408	80	1392	2797	0.4976761
Scaffold_5881	286216	286756	39	540	540	1.0000000
Scaffold_2612	177916	178482	29	566	566	1.0000000
Scaffold_2501	273668	273993	16	325	325	1.0000000
Scaffold_8085	146796	147769	27	738	973	0.7584789
Scaffold_6137	953844	954062	6	187	218	0.8577982
Scaffold_7831	40281	41467	48	1140	1186	0.9612142
Scaffold_7951	347091	347479	0	0	388	0.0000000
Scaffold_7936	972486	973195	20	479	709	0.6755995
Scaffold_678	129924	130630	7	400	706	0.5665722
Scaffold_10215	2025264	2025654	14	289	390	0.7410256
Scaffold_2858	309140	310656	70	1440	1516	0.9498681
Scaffold_8545	1376429	1376902	32	421	473	0.8900634
Scaffold_3694	434608	434952	3	122	344	0.3546512
Scaffold_386	104778	106026	9	542	1248	0.4342949
Scaffold_8533	1142211	1142427	65	216	216	1.0000000
Scaffold_5469	420396	420809	2	142	413	0.3438257
Scaffold_5045	333390	335013	17	464	1623	0.2858903
Scaffold_9617	1376592	1377155	7	563	563	1.0000000
Scaffold_5131	500499	500946	29	447	447	1.0000000
